Text,text,compound,negative,neutral,positive,sentiment
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .","In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",0.5267,0.0,0.804,0.196,positive
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,0.3182,0.0,0.897,0.103,positive
The company closed last year with a turnover of about four million euros .,The company closed last year with a turnover of about four million euros .,0.0,0.0,1.0,0.0,neutral
Shire CEO steps up drive to get Baxalta board talking,Shire CEO steps up drive to get Baxalta board talking,0.0,0.0,1.0,0.0,neutral
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,0.34,0.0,0.714,0.286,positive
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .","The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",-0.4767,0.147,0.853,0.0,negative
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .","The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",0.4588,0.0,0.906,0.094,positive
All are welcome .,All are welcome .,0.4588,0.0,0.4,0.6,positive
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .","Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",0.6597,0.0,0.856,0.144,positive
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .","HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",0.0,0.0,1.0,0.0,neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,`` We are pleased to welcome Tapeks Noma into Cramo group .,0.7096,0.0,0.604,0.396,positive
- Profit before taxes was EUR 105.9 82.7 million .,- Profit before taxes was EUR 105.9 82.7 million .,0.4404,0.0,0.707,0.293,positive
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.0,0.0,1.0,0.0,neutral
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .","FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",-0.296,0.121,0.879,0.0,negative
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,0.296,0.0,0.913,0.087,positive
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .","The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",-0.0258,0.073,0.857,0.07,neutral
In 2005 the bank posted a net profit of Lt 8.2 mn .,In 2005 the bank posted a net profit of Lt 8.2 mn .,0.4404,0.0,0.775,0.225,positive
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,-0.6486,0.319,0.563,0.117,negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,0.4939,0.0,0.856,0.144,positive
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .","Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",-0.4019,0.097,0.903,0.0,negative
InterContinental Hotels first-quarter global room revenue lags estimates,InterContinental Hotels first-quarter global room revenue lags estimates,-0.3612,0.263,0.737,0.0,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",0.3182,0.0,0.895,0.105,positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",0.2023,0.107,0.754,0.139,positive
"L&G still paying price for dividend cut during crisis, chief says","L&G still paying price for dividend cut during crisis, chief says",-0.7351,0.408,0.592,0.0,negative
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,0.0,0.0,1.0,0.0,neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .","Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",0.0,0.0,1.0,0.0,neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,0.4019,0.0,0.875,0.125,positive
Profit of the accounting period was EUR 0.3 mn .,Profit of the accounting period was EUR 0.3 mn .,0.4404,0.0,0.734,0.266,positive
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .","The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",0.3818,0.0,0.898,0.102,positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .","In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",0.0,0.0,1.0,0.0,neutral
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .","Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",0.4215,0.0,0.823,0.177,positive
Tesco share price jumps as Q3 sales top estimates,Tesco share price jumps as Q3 sales top estimates,0.4588,0.0,0.636,0.364,positive
The fine print is here .,The fine print is here .,0.2023,0.0,0.69,0.31,positive
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,0.7003,0.0,0.734,0.266,positive
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .","Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",0.5423,0.0,0.866,0.134,positive
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,0.296,0.0,0.833,0.167,positive
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .","At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",-0.4404,0.162,0.838,0.0,negative
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .","Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",0.0,0.0,1.0,0.0,neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,0.0323,0.114,0.766,0.12,neutral
The firm generated sales of 187 mln eur in 2005 .,The firm generated sales of 187 mln eur in 2005 .,-0.6249,0.313,0.687,0.0,negative
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .","Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",0.1779,0.0,0.934,0.066,positive
AstraZeneca profit down as sales of stalwarts fade,AstraZeneca profit down as sales of stalwarts fade,0.4404,0.0,0.707,0.293,positive
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",-0.1779,0.116,0.884,0.0,negative
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,0.0,0.0,1.0,0.0,neutral
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .","Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0.0,0.0,1.0,0.0,neutral
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .","Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",0.5267,0.0,0.747,0.253,positive
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,0.0,0.0,1.0,0.0,neutral
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",-0.7096,0.174,0.826,0.0,negative
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,0.0,0.0,1.0,0.0,neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,0.4404,0.0,0.847,0.153,positive
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,0.8271,0.0,0.661,0.339,positive
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .","Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0.3182,0.056,0.831,0.112,positive
US sanctions put Gazprom-Shell alliance plans in jeopardy,US sanctions put Gazprom-Shell alliance plans in jeopardy,-0.4767,0.307,0.693,0.0,negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",0.4404,0.0,0.828,0.172,positive
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .","Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",0.4404,0.0,0.805,0.195,positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0.4404,0.0,0.847,0.153,positive
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .","However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",0.3818,0.0,0.809,0.191,positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,0.4404,0.0,0.775,0.225,positive
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",-0.0202,0.067,0.869,0.064,neutral
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .","In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",0.0,0.0,1.0,0.0,neutral
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .","The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",0.4767,0.0,0.876,0.124,positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,0.5719,0.0,0.836,0.164,positive
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",-0.4939,0.103,0.856,0.042,negative
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",0.5994,0.0,0.776,0.224,positive
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,0.0,0.0,1.0,0.0,neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .","Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",0.0,0.0,1.0,0.0,neutral
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .","A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",0.0,0.0,1.0,0.0,neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .","In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",0.2732,0.0,0.92,0.08,positive
$YANG Double bottom 5.2,$YANG Double bottom 5.2,0.0,0.0,1.0,0.0,neutral
Tesco share price down as grocer faces SFO investigation outcome,Tesco share price down as grocer faces SFO investigation outcome,0.296,0.0,0.804,0.196,positive
$aapl news is becoming very bullish again http://stks.co/tMU,$aapl news is becoming very bullish again http://stks.co/tMU,0.0,0.0,1.0,0.0,neutral
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",0.3612,0.0,0.912,0.088,positive
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,0.6124,0.0,0.806,0.194,positive
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '","M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",-0.296,0.109,0.891,0.0,negative
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .","Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",0.4939,0.0,0.856,0.144,positive
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,-0.765,0.202,0.798,0.0,negative
$TSLA recall,$TSLA recall,0.0,0.0,1.0,0.0,neutral
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0.0,0.08,0.839,0.08,neutral
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,-0.296,0.213,0.662,0.125,negative
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .","At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",-0.296,0.145,0.855,0.0,negative
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .","The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",0.34,0.0,0.897,0.103,positive
The value of the orders is over EUR 10mn .,The value of the orders is over EUR 10mn .,0.34,0.0,0.769,0.231,positive
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,0.3182,0.0,0.897,0.103,positive
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .","Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",0.6705,0.0,0.745,0.255,positive
Aberdeen Asset Management Gains Foothold In China,Aberdeen Asset Management Gains Foothold In China,0.5994,0.0,0.505,0.495,positive
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,-0.6597,0.241,0.759,0.0,negative
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .","In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",0.0,0.0,1.0,0.0,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",0.0,0.0,1.0,0.0,neutral
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .","Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",0.0,0.0,1.0,0.0,neutral
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,0.7184,0.0,0.793,0.207,positive
$GOOGL is a short below 740 into the upper BB and is overbought,$GOOGL is a short below 740 into the upper BB and is overbought,0.0,0.0,1.0,0.0,neutral
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .","LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",0.7506,0.0,0.748,0.252,positive
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",-0.128,0.214,0.613,0.173,negative
The total value of the contract is some EUR 8 million .,The total value of the contract is some EUR 8 million .,0.34,0.0,0.789,0.211,positive
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .","The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",0.7184,0.0,0.806,0.194,positive
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,0.0,0.0,1.0,0.0,neutral
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .","The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",0.4939,0.0,0.882,0.118,positive
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .","In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",0.0,0.0,1.0,0.0,neutral
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",0.743,0.0,0.846,0.154,positive
